,PMCID,Class_mean
74942,['3739460'],Relevant
81273,['3155924'],Relevant
31770,['6770155'],Relevant
69519,['4212306'],Relevant
35603,['6567014'],Relevant
7791,['8073149'],Relevant
4820,['8217011'],Relevant
28537,['7022231'],Relevant
13851,['7770582'],Relevant
55372,['7195945'],Relevant
58038,['7159391'],Relevant
2983,['8365270'],Relevant
55512,['7149521'],Relevant
13489,['7765786'],Relevant
82717,['3153167'],Relevant
43087,['6104162'],Relevant
29294,['6884548'],Relevant
874,['8470500'],Relevant
50133,['5645804'],Relevant
41910,['6165832'],Relevant
75733,['3661942'],Relevant
2168,['8402133'],Relevant
17800,['7522354'],Relevant
32753,['7080082'],Relevant
8619,['8123537'],Relevant
20548,['7384849'],Relevant
33040,['6684605'],Relevant
7325,['8146789'],Relevant
87545,['7149984'],Relevant
46380,['7110445'],Relevant
8821,['8105627'],Relevant
19571,['7466637'],Relevant
23293,['7225360'],Relevant
75082,['3720592'],Relevant
87270,['3978485'],Relevant
69897,['7122176'],Relevant
32477,['6723617'],Relevant
17730,['7555206'],Relevant
87058,['7096857'],Relevant
56691,['5134293'],Relevant
8517,['8038196'],Relevant
7488,['8078037'],Relevant
37894,['6400836'],Relevant
6850,['8151116'],Relevant
49838,['7672678'],Relevant
7429,['8082909'],Relevant
26027,['7055177'],Relevant
5812,['8217614'],Relevant
23532,['7252249'],Relevant
41555,['6189184'],Relevant
15988,['7660695'],Relevant
18639,['7522939'],Relevant
55114,['5322425'],Relevant
4162,['8300636'],Relevant
3455,['8326989'],Relevant
59048,['5456245'],Relevant
73710,['3831162'],Relevant
48124,['5872315'],Relevant
73554,['3854692'],Relevant
52839,['5485324'],Relevant
12396,['7828240'],Relevant
54317,['5955472'],Relevant
27690,['6974471'],Relevant
45429,['5971348'],Relevant
78993,['3815329'],Relevant
44296,['6030385'],Relevant
7121,['8147964'],Relevant
6008,['8190993'],Relevant
7958,['8052457'],Relevant
45137,['6391281'],Relevant
51086,['5727363'],Relevant
84516,['3274163'],Relevant
54523,['7122190'],Relevant
40066,['6300292'],Relevant
60502,['4871955'],Relevant
13526,['7769811'],Relevant
36960,['6631383'],Relevant
41412,['6316803'],Relevant
46519,['5879084'],Relevant
48734,['5736357'],Relevant
2430,['8396182'],Relevant
38116,['7123371'],Relevant
2608,['8388893'],Relevant
50585,['5613109'],Relevant
76037,['3645767'],Relevant
74402,['3785399'],Relevant
61744,['4820297'],Relevant
47259,['7088705'],Relevant
37298,['6463129'],Relevant
23322,['7273213'],Relevant
54923,['5333925'],Relevant
9297,['7964520'],Relevant
58196,['5020055'],Relevant
10301,['8068612'],Relevant
51255,['5568217'],Relevant
7235,['8125338'],Relevant
21821,['7304486'],Relevant
83290,['3614743'],Relevant
32602,['6710993'],Relevant
33747,['6685928'],Relevant
40647,['6240746'],Relevant
37549,['6471395'],Relevant
45980,['5909780'],Relevant
15170,['7686049'],Relevant
82009,['7100502'],Relevant
74191,['3713197'],Relevant
34148,['6680729'],Relevant
39652,['6337270'],Relevant
52020,['5518651'],Relevant
79226,['7106027'],Relevant
46365,['5923457'],Relevant
8170,['8069873'],Relevant
43860,['6070892'],Relevant
3928,['8307070'],Relevant
41387,['6796246'],Relevant
39300,['6331445'],Relevant
5647,['8227053'],Relevant
8589,['8017782'],Relevant
23261,['7497051'],Relevant
8092,['8076610'],Relevant
29214,['7057203'],Relevant
18631,['7557518'],Relevant
2101,['8402990'],Relevant
15548,['7693686'],Relevant
46521,['5869823'],Relevant
29804,['6920849'],Relevant
62438,['4833879'],Relevant
2914,['8371276'],Relevant
12955,['7823989'],Relevant
44093,['6031612'],Relevant
52747,['5490603'],Relevant
6871,['8149739'],Relevant
5735,['8224320'],Relevant
31435,['6763765'],Relevant
12716,['7797278'],Relevant
18388,['7584847'],Relevant
12299,['7808403'],Relevant
2121,['8381015'],Relevant
35418,['6536590'],Relevant
22446,['7273750'],Relevant
74265,['4070603'],Relevant
8242,['8070479'],Relevant
37420,['6424913'],Relevant
10612,['7904367'],Relevant
26300,['7073063'],Relevant
77419,['3594737'],Relevant
14322,['7738659'],Relevant
13059,['7783900'],Relevant
65157,['4524529'],Relevant
23940,['7188910'],Relevant
4488,['8261010'],Relevant
85418,['2500020'],Relevant
11155,['7891712'],Relevant
49158,['7173509'],Relevant
18052,['7488162'],Relevant
70544,['4115488'],Relevant
9806,['7973208'],Relevant
16180,['7588929'],Relevant
61413,['4791123'],Relevant
53139,['5469997'],Relevant
55264,['5464924'],Relevant
49836,['5662595'],Relevant
29458,['6930530'],Relevant
54696,['5351054'],Relevant
46658,['5882173'],Relevant
64559,['4642849'],Relevant
24093,['7231263'],Relevant
37825,['6523588'],Relevant
86718,['7100095'],Relevant
2202,['8401564'],Relevant
76022,['3634065'],Relevant
42933,['6106888'],Relevant
13375,['7765790'],Relevant
550,['8481920'],Relevant
21913,['7313461'],Relevant
37659,['6471592'],Relevant
14328,['7731206'],Relevant
36200,['6515310'],Relevant
23936,['7189621'],Relevant
53212,['5473688'],Relevant
35276,['6543543'],Relevant
54467,['5506916'],Relevant
39750,['6430903'],Relevant
72567,['3951957'],Relevant
63282,['6169512'],Relevant
84638,['7173421'],Relevant
16713,['7580221'],Relevant
3188,['8349711'],Relevant
8712,['8042157'],Relevant
33477,['6678331'],Relevant
36224,['6478838'],Relevant
71447,['4026712'],Relevant
60812,['4879184'],Relevant
73018,['3893167'],Relevant
49999,['5666889'],Relevant
42949,['6164603'],Relevant
36860,['6452778'],Relevant
50796,['5595328'],Relevant
3624,['8312973'],Relevant
78637,['7122290'],Relevant
19805,['7459796'],Relevant
22864,['7281370'],Relevant
54628,['5355466'],Relevant
9939,['8121099'],Relevant
59485,['4967834'],Relevant
74668,['3846448'],Relevant
13639,['7733684'],Relevant
60040,['4917371'],Relevant
376,['8492102'],Relevant
29487,['7086733'],Relevant
19606,['7405498'],Relevant
36848,['6497429'],Relevant
78704,['7106184'],Relevant
67153,['4487406'],Relevant
45054,['6024844'],Relevant
38915,['6344533'],Relevant
83173,['2911681'],Relevant
420,['8490651'],Relevant
23321,['7277233'],Relevant
40447,['6275436'],Relevant
83656,['3153655'],Relevant
30498,['6921184'],Relevant
24887,['7180472'],Relevant
39183,['6337248'],Relevant
50956,['7169716'],Relevant
75980,['3654146'],Relevant
76071,['3710337'],Relevant
85726,['3815394'],Relevant
17040,['7495339'],Relevant
23519,['7284987'],Relevant
27903,['6962185'],Relevant
17843,['7560085'],Relevant
34242,['6595019'],Relevant
45943,['6024665'],Relevant
10853,['7916965'],Relevant
15393,['8016206'],Relevant
1031,['8467351'],Relevant
42138,['7167781'],Relevant
81894,['7185793'],Relevant
4044,['8303941'],Relevant
64759,['4549902'],Relevant
79135,['7094968'],Relevant
2276,['8399941'],Relevant
10474,['7923022'],Relevant
24420,['7231147'],Relevant
56051,['5219744'],Relevant
3248,['8348235'],Relevant
17569,['7555649'],Relevant
76550,['3585164'],Relevant
10270,['7943716'],Relevant
14510,['8100220'],Relevant
16359,['7785451'],Relevant
7847,['8072771'],Relevant
77083,['7271181'],Relevant
23472,['7277505'],Relevant
55779,['5458470'],Relevant
74096,['3853003'],Relevant
27711,['6962035'],Relevant
18966,['7504675'],Relevant
52568,['5487463'],Relevant
15408,['7674664'],Relevant
23529,['7252256'],Relevant
74132,['3970981'],Relevant
67821,['7158287'],Relevant
57962,['5036890'],Relevant
58507,['5004866'],Relevant
25045,['7426980'],Relevant
30657,['6805589'],Relevant
17034,['7510699'],Relevant
77955,['3471391'],Relevant
10131,['7996769'],Relevant
22136,['7476776'],Relevant
46499,['5870221'],Relevant
66000,['4513309'],Relevant
9887,['7931793'],Relevant
18830,['7786404'],Relevant
71539,['4026837'],Relevant
6593,['8205225'],Relevant
58489,['5241705'],Relevant
37270,['6425705'],Relevant
50807,['5600997'],Relevant
19944,['7399079'],Relevant
69275,['7168141'],Relevant
23530,['7252253'],Relevant
36156,['6627412'],Relevant
78600,['7152060'],Relevant
43849,['6100314'],Relevant
12209,['7843790'],Relevant
3860,['8308553'],Relevant
60373,['4885061'],Relevant
29732,['6920764'],Relevant
22180,['7271994'],Relevant
54586,['5372680'],Relevant
14332,['7719506'],Relevant
70861,['4099116'],Relevant
34694,['7066045'],Relevant
65438,['7158576'],Relevant
58547,['5037693'],Relevant
28500,['6953443'],Relevant
18184,['7474329'],Relevant
40683,['6524682'],Relevant
50460,['7162259'],Relevant
40810,['6278541'],Relevant
1797,['8406317'],Relevant
14984,['7697925'],Relevant
21447,['7311426'],Relevant
24275,['7232257'],Relevant
45882,['5913291'],Relevant
73094,['3913822'],Relevant
4642,['8272101'],Relevant
16598,['7587204'],Relevant
59979,['4912991'],Relevant
53502,['5715925'],Relevant
59497,['4930278'],Relevant
59204,['4959372'],Relevant
34842,['7120554'],Relevant
78737,['3398667'],Relevant
52503,['5493053'],Relevant
64101,['4594012'],Relevant
52414,['5495459'],Relevant
8639,['8065494'],Relevant
26533,['7151630'],Relevant
68458,['4267739'],Relevant
73268,['3886269'],Relevant
49595,['5787188'],Relevant
12000,['7874003'],Relevant
34155,['6650844'],Relevant
60489,['6007559'],Relevant
29454,['6953987'],Relevant
3105,['8357497'],Relevant
67135,['4384076'],Relevant
8842,['8036581'],Relevant
78005,['7150249'],Relevant
51992,['5521131'],Relevant
78246,['3709572'],Relevant
65441,['7150201'],Relevant
24568,['7322538'],Relevant
17320,['7517065'],Relevant
84102,['2766832'],Relevant
65011,['5014149'],Relevant
1889,['8419677'],Relevant
9141,['8003623'],Relevant
44532,['6100412'],Relevant
49886,['5662582'],Relevant
71173,['4040921'],Relevant
42744,['6136537'],Relevant
8521,['8017513'],Relevant
11928,['7911284'],Relevant
20426,['7473167'],Relevant
49051,['5709968'],Relevant
25456,['7143493'],Relevant
3006,['8363177'],Relevant
10968,['7923694'],Relevant
214,['8512414'],Relevant
64015,['4603819'],Relevant
69938,['4161391'],Relevant
12523,['7831819'],Relevant
32206,['6781272'],Relevant
3348,['8314020'],Relevant
16953,['7539234'],Relevant
18765,['7551115'],Relevant
12829,['7780072'],Relevant
31332,['6835637'],Relevant
13482,['7766900'],Relevant
29000,['6897945'],Relevant
60809,['4896250'],Relevant
19918,['7468853'],Relevant
4991,['8253257'],Relevant
14239,['7760155'],Relevant
67322,['4377387'],Relevant
35654,['6560418'],Relevant
30705,['6813203'],Relevant
81353,['3815261'],Relevant
16812,['7573253'],Relevant
18962,['7551052'],Relevant
49353,['7195946'],Relevant
6766,['8127801'],Relevant
68719,['4295418'],Relevant
57640,['7094691'],Relevant
77043,['3654619'],Relevant
13172,['7795176'],Relevant
75315,['3744901'],Relevant
60699,['4845594'],Relevant
4033,['8304352'],Relevant
19416,['7466049'],Relevant
28972,['7153328'],Relevant
12935,['7775456'],Relevant
46125,['5901133'],Relevant
5475,['8230312'],Relevant
11434,['7912724'],Relevant
53801,['5406411'],Relevant
53008,['5473597'],Relevant
43310,['6080552'],Relevant
16321,['7602753'],Relevant
47548,['5836817'],Relevant
19366,['7416788'],Relevant
65126,['5526368'],Relevant
51755,['6781570'],Relevant
50701,['5622781'],Relevant
22618,['7296337'],Relevant
53256,['5485766'],Relevant
31613,['6753159'],Relevant
46677,['7120432'],Relevant
60233,['4876114'],Relevant
17855,['7532689'],Relevant
11343,['7912840'],Relevant
48842,['5771894'],Relevant
22917,['7375057'],Relevant
64517,['7167893'],Relevant
28611,['6918586'],Relevant
32926,['6797897'],Relevant
57499,['5073890'],Relevant
61451,['4854916'],Relevant
47144,['5834171'],Relevant
9853,['7978324'],Relevant
45193,['5964925'],Relevant
75823,['4235718'],Relevant
29998,['7153338'],Relevant
58220,['5078570'],Relevant
29940,['7008859'],Relevant
29601,['6869321'],Relevant
12380,['7850032'],Relevant
16666,['7547716'],Relevant
2844,['8332605'],Relevant
28913,['6902316'],Relevant
41872,['6528642'],Relevant
6903,['8151307'],Relevant
15132,['8027415'],Relevant
18402,['7504821'],Relevant
51135,['5701663'],Relevant
54453,['5366871'],Relevant
39623,['6305676'],Relevant
22217,['7283535'],Relevant
12606,['7794379'],Relevant
64304,['7123991'],Relevant
25097,['7092506'],Relevant
1456,['8442651'],Relevant
51330,['5613234'],Relevant
80237,['7120252'],Relevant
83695,['2847706'],Relevant
35746,['7140199'],Relevant
29833,['6856318'],Relevant
84724,['7079892'],Relevant
39662,['6357009'],Relevant
10211,['7947609'],Relevant
38157,['7089215'],Relevant
4587,['8274697'],Relevant
19285,['7464077'],Relevant
43803,['6050247'],Relevant
15305,['7712750'],Relevant
7734,['8084836'],Relevant
52399,['5495826'],Relevant
42335,['7169870'],Relevant
6975,['8125981'],Relevant
64430,['4579023'],Relevant
77002,['3571643'],Relevant
32846,['6723934'],Relevant
4631,['8240184'],Relevant
41963,['6173059'],Relevant
43415,['6070544'],Relevant
18249,['7563178'],Relevant
42320,['6164963'],Relevant
56750,['5127831'],Relevant
25507,['7144220'],Relevant
19191,['7460088'],Relevant
29635,['6874853'],Relevant
7617,['8064989'],Relevant
8708,['8042337'],Relevant
25177,['7141136'],Relevant
7876,['8120803'],Relevant
59496,['4930583'],Relevant
6177,['8201069'],Relevant
67939,['4313107'],Relevant
26604,['7045314'],Relevant
32214,['6755366'],Relevant
73011,['3893282'],Relevant
8319,['8060452'],Relevant
77280,['3535192'],Relevant
86705,['7149651'],Relevant
26667,['7018527'],Relevant
7288,['8121174'],Relevant
5471,['8230423'],Relevant
47174,['5834427'],Relevant
68174,['4303849'],Relevant
71434,['4052788'],Relevant
40909,['6309157'],Relevant
1693,['8429793'],Relevant
52764,['5473848'],Relevant
31947,['6733801'],Relevant
59371,['5053257'],Relevant
39362,['6337595'],Relevant
8204,['8167567'],Relevant
38598,['6563750'],Relevant
82435,['7152316'],Relevant
50039,['7114529'],Relevant
274,['8502239'],Relevant
71940,['7103209'],Relevant
8572,['8036953'],Relevant
85059,['7173517'],Relevant
42213,['6169223'],Relevant
12179,['7830466'],Relevant
48094,['5771565'],Relevant
69366,['6270724'],Relevant
81309,['3202854'],Relevant
40548,['6267043'],Relevant
7972,['8083986'],Relevant
59569,['6273101'],Relevant
1196,['8461059'],Relevant
25233,['7081687'],Relevant
45359,['5954004'],Relevant
46220,['5884818'],Relevant
18897,['7554709'],Relevant
27599,['6992388'],Relevant
64288,['4585250'],Relevant
52905,['7152440'],Relevant
58236,['5017214'],Relevant
36536,['6459918'],Relevant
13507,['7780628'],Relevant
44311,['6604941'],Relevant
36401,['6466642'],Relevant
5933,['8206370'],Relevant
30286,['7260635'],Relevant
28085,['6941918'],Relevant
71777,['4009199'],Relevant
23523,['7279399'],Relevant
5681,['8226494'],Relevant
75248,['7983574'],Relevant
50596,['5608400'],Relevant
29776,['6874145'],Relevant
7785,['8074288'],Relevant
46420,['5930464'],Relevant
78167,['3438994'],Relevant
27525,['7019891'],Relevant
53379,['5454986'],Relevant
54901,['5336288'],Relevant
8445,['8053776'],Relevant
85203,['7173558'],Relevant
61636,['4774013'],Relevant
34459,['6595049'],Relevant
16996,['7600791'],Relevant
15465,['7672122'],Relevant
27510,['6972910'],Relevant
15616,['7694082'],Relevant
12058,['7847694'],Relevant
65945,['4476826'],Relevant
6881,['8115815'],Relevant
20444,['7400126'],Relevant
85599,['2643945'],Relevant
61918,['4757757'],Relevant
11634,['7865717'],Relevant
93,['8506220'],Relevant
16346,['7568570'],Relevant
37865,['6394756'],Relevant
54042,['5420601'],Relevant
74154,['7158370'],Relevant
6712,['8123387'],Relevant
39137,['6339873'],Relevant
2784,['8380008'],Relevant
3523,['8319259'],Relevant
2030,['8390911'],Relevant
67932,['4318436'],Relevant
43664,['6070831'],Relevant
22211,['7283587'],Relevant
6157,['8176930'],Relevant
30053,['6925523'],Relevant
29350,['6882848'],Relevant
19757,['7411001'],Relevant
34903,['6581987'],Relevant
8150,['8072658'],Relevant
16651,['7581866'],Relevant
48387,['5749847'],Relevant
5247,['8237024'],Relevant
40540,['6321870'],Relevant
2558,['8389615'],Relevant
57049,['5659385'],Relevant
4131,['8300728'],Relevant
33622,['6636059'],Relevant
54041,['5429845'],Relevant
56510,['5152906'],Relevant
60974,['4824775'],Relevant
6887,['8114615'],Relevant
83877,['7150346'],Relevant
